Start Time,End Time,Premise
2022-04-27T15:00,2022-04-27T16:00,D3
2022-04-27T15:00,2022-04-27T16:00,E3
2022-04-27T15:00,2022-04-27T17:00,D1
2022-04-27T15:00,2022-04-27T17:00,D41
2022-04-27T15:00,2022-04-27T18:00,D3
2022-04-27T15:00,2022-04-27T18:00,D33
2022-04-27T15:00,2022-04-27T18:00,E3
2022-04-27T15:00,2022-04-27T18:00,E34
2022-04-27T15:00,2022-04-27T19:00,"D/LV5 (Ljusgård, D)"
2022-04-27T15:00,2022-04-27T19:00,D3
2022-04-27T15:00,2022-04-27T19:00,D34
2022-04-27T16:00,2022-04-27T18:00,D3
2022-04-27T16:00,2022-04-27T18:00,D36 (Gamla styrelserummet)
2022-04-27T16:00,2022-04-27T18:00,E3
2022-04-27T16:00,2022-04-27T18:00,E32
2022-04-28T08:00,2022-04-28T10:00,VIC-studion
2022-04-28T08:00,2022-04-28T14:00,"D/LV5 (Ljusgård, D)"
2022-04-28T08:00,2022-04-28T14:00,D3
2022-04-28T08:00,2022-04-28T14:00,D37
2022-04-28T08:00,2022-04-28T17:00,D3
2022-04-28T08:00,2022-04-28T17:00,D31
2022-04-28T08:00,2022-04-28T17:00,D36 (Gamla styrelserummet)
2022-04-28T08:00,2022-04-28T21:00,5O1Spe (Spelhallen)
2022-04-28T08:00,2022-04-28T21:00,5O2Spo (Sporthallen)
2022-04-28T08:00,2022-04-28T21:00,5O3Mus (Musiksalen)
2022-04-28T08:00,2022-04-28T21:00,5O4Kons (Konsthallen)
2022-04-28T08:00,2022-04-28T21:00,5O5Mat (Matsalen)
2022-04-28T10:00,2022-04-28T12:00,D41
2022-04-28T10:00,2022-04-28T12:00,D42
2022-04-28T10:00,2022-04-28T12:00,E1
2022-04-28T10:00,2022-04-28T12:00,D3
2022-04-28T10:00,2022-04-28T12:00,D35
2022-04-28T10:00,2022-04-28T12:00,E3
2022-04-28T10:00,2022-04-28T12:00,E33
2022-04-28T10:00,2022-04-28T12:00,E52
2022-04-28T10:00,2022-04-28T12:00,E53
2022-04-28T10:00,2022-04-28T12:00,D3
2022-04-28T10:00,2022-04-28T12:00,D34
2022-04-28T10:00,2022-04-28T12:00,D1
2022-04-28T10:00,2022-04-28T12:00,D3
2022-04-28T13:00,2022-04-28T15:00,D2
2022-04-28T13:00,2022-04-28T15:00,D41
2022-04-28T13:00,2022-04-28T15:00,D2
2022-04-28T13:00,2022-04-28T15:00,E1
2022-04-28T13:00,2022-04-28T15:00,D3
2022-04-28T13:00,2022-04-28T15:00,E2
2022-04-28T13:00,2022-04-28T15:00,D4448
2022-04-28T15:00,2022-04-28T16:00,D1
2022-04-28T15:00,2022-04-28T16:00,E2
2022-04-28T15:00,2022-04-28T16:00,D2
2022-04-28T15:00,2022-04-28T17:00,D41
2022-04-28T15:00,2022-04-28T17:00,D3
2022-04-28T15:00,2022-04-28T17:00,D33
2022-04-28T15:00,2022-04-28T19:00,"D/LV5 (Ljusgård, D)"
2022-04-28T15:00,2022-04-28T19:00,D3
2022-04-28T15:00,2022-04-28T19:00,D34
2022-04-28T16:00,2022-04-28T17:00,D1
2022-04-28T16:00,2022-04-28T17:00,E3
2022-04-28T17:00,2022-04-28T18:00,D1
2022-04-28T17:00,2022-04-28T18:00,E1
2022-04-28T17:00,2022-04-28T18:00,E2
2022-04-28T17:00,2022-04-28T18:00,E3
2022-04-29T08:00,2022-04-29T10:00,D3
2022-04-29T08:00,2022-04-29T10:00,D33
2022-04-29T08:00,2022-04-29T10:00,D41
2022-04-29T08:00,2022-04-29T10:00,E2
2022-04-29T08:00,2022-04-29T21:00,5O1Spe (Spelhallen)
2022-04-29T08:00,2022-04-29T21:00,5O2Spo (Sporthallen)
2022-04-29T08:00,2022-04-29T21:00,5O3Mus (Musiksalen)
2022-04-29T08:00,2022-04-29T21:00,5O4Kons (Konsthallen)
2022-04-29T08:00,2022-04-29T21:00,5O5Mat (Matsalen)
2022-04-29T09:00,2022-04-29T12:00,D3
2022-04-29T09:00,2022-04-29T12:00,D37
2022-04-29T10:00,2022-04-29T11:00,VIC-studion
2022-04-29T10:00,2022-04-29T11:00,E3
2022-04-29T10:00,2022-04-29T12:00,D1
2022-04-29T10:00,2022-04-29T12:00,D3
2022-04-29T10:00,2022-04-29T12:00,D33
2022-04-29T10:00,2022-04-29T12:00,D35
2022-04-29T10:00,2022-04-29T12:00,D42
2022-04-29T10:00,2022-04-29T12:00,E1
2022-04-29T10:00,2022-04-29T12:00,E3
2022-04-29T10:00,2022-04-29T12:00,E31
2022-04-29T10:00,2022-04-29T12:00,E33
2022-04-29T10:00,2022-04-29T12:00,E36
2022-04-29T10:00,2022-04-29T12:00,E53
2022-04-29T10:00,2022-04-29T12:00,D1
2022-04-29T10:00,2022-04-29T12:00,D3
2022-04-29T10:00,2022-04-29T12:00,D3
2022-04-29T10:00,2022-04-29T12:00,D34
2022-04-29T10:00,2022-04-29T12:00,E3
2022-04-29T13:00,2022-04-29T15:00,D2
2022-04-29T13:00,2022-04-29T15:00,D1
2022-04-29T13:00,2022-04-29T15:00,D3
2022-04-29T13:00,2022-04-29T15:00,D42
2022-04-29T13:00,2022-04-29T15:00,D41
2022-04-29T13:00,2022-04-29T15:00,D3
2022-04-29T13:00,2022-04-29T15:00,E2
2022-04-29T13:00,2022-04-29T15:00,D1
2022-04-29T13:00,2022-04-29T15:00,D3
2022-04-29T13:00,2022-04-29T15:00,D34
2022-04-29T13:00,2022-04-29T15:00,E2
2022-04-29T15:00,2022-04-29T17:00,D3
2022-04-29T15:00,2022-04-29T17:00,D33
2022-04-29T16:00,2022-04-29T17:00,D3
2022-04-29T16:00,2022-04-29T17:00,D31
